gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,age_group
1,1,29.84,56,5,0,17.99,0,0,4,0.52,3,0
2,2,19.33,31,3,0,13.99,0,0,1,0.6,1,2
0,1,2.5,33,2,3,17.99,1,0,3,0.07,0,0
1,1,6.97,31,3,4,17.99,1,1,1,0.22,5,2
0,2,3.66,6,0,2,13.99,0,4,1,0.52,5,2
0,0,30.85,46,3,2,8.99,0,2,5,0.66,0,2
1,2,1.77,34,2,3,13.99,1,4,3,0.05,6,4
2,2,16.65,41,3,4,13.99,1,2,3,0.4,5,2
2,2,23.2,18,1,4,13.99,0,2,1,1.22,1,4
1,2,28.44,55,2,1,13.99,0,1,3,0.51,5,1
0,2,14.8,40,5,2,13.99,1,1,5,0.36,3,2
2,1,3.39,57,5,2,17.99,1,4,4,0.06,6,2
0,1,13.15,11,4,0,17.99,0,2,1,1.1,1,2
1,0,15.26,21,5,0,8.99,0,2,5,0.69,3,0
0,0,9.13,43,3,1,8.99,1,2,1,0.21,2,2
1,1,3.29,20,1,2,17.99,1,2,2,0.16,3,2
0,2,9.52,51,2,1,13.99,1,4,1,0.18,6,2
1,2,3.56,23,4,4,13.99,0,2,4,0.15,4,3
2,1,11.1,41,0,2,17.99,1,3,5,0.26,2,0
2,2,23.13,27,4,2,13.99,0,2,2,0.83,2,4
1,1,9.91,27,1,0,17.99,0,2,2,0.35,6,4
2,0,6.22,36,1,1,8.99,1,0,2,0.17,4,0
0,1,0.45,20,2,4,17.99,0,2,5,0.02,6,2
0,2,17.53,38,4,1,13.99,1,0,1,0.45,0,4
0,2,4.52,21,2,4,13.99,1,1,2,0.21,3,2
1,0,9.69,24,1,2,8.99,0,0,4,0.39,4,0
0,2,5.78,4,1,1,13.99,0,0,2,1.16,6,0
0,1,4.89,3,4,0,17.99,0,2,4,1.22,6,4
0,1,1.66,54,4,3,17.99,1,4,4,0.03,3,2
0,1,4.42,17,5,1,17.99,1,1,3,0.25,4,2
2,1,13.38,22,3,2,17.99,0,3,4,0.58,2,0
0,1,9.87,6,2,3,17.99,0,4,3,1.41,0,1
0,1,23.6,56,5,3,17.99,0,4,4,0.41,6,4
1,0,3.89,33,3,2,8.99,1,0,1,0.11,5,3
2,1,3.4,33,0,4,17.99,1,1,5,0.1,3,3
0,2,3.58,54,2,4,13.99,1,0,4,0.07,5,0
2,1,31.11,39,5,2,17.99,0,1,4,0.78,1,4
2,1,2.81,39,2,0,17.99,1,0,5,0.07,4,4
1,2,9.87,29,0,0,13.99,0,4,3,0.33,2,3
2,1,14.24,37,0,4,17.99,1,3,2,0.37,2,0
0,0,2.9,46,1,2,8.99,1,2,2,0.06,4,0
0,0,24.74,17,4,1,8.99,0,0,5,1.37,1,4
2,0,2.93,27,1,3,8.99,1,3,2,0.1,6,4
2,1,24.59,49,3,0,17.99,0,1,3,0.49,5,2
0,0,13.97,14,3,1,8.99,0,0,3,0.93,5,4
1,0,4.58,42,5,4,8.99,1,0,4,0.11,5,4
2,0,17.18,22,0,3,8.99,0,1,4,0.75,5,4
0,1,4.89,6,1,3,17.99,0,3,1,0.7,2,2
2,2,6.77,22,4,4,13.99,0,2,1,0.29,6,2
2,0,1.28,52,1,2,8.99,1,0,5,0.02,0,1
1,1,8.54,51,3,4,17.99,0,0,5,0.16,2,2
2,0,9.28,44,3,4,8.99,1,4,4,0.21,0,4
2,0,6.18,41,5,4,8.99,1,3,3,0.15,1,2
2,2,5.88,40,3,2,13.99,1,1,2,0.14,0,0
1,2,2.86,30,2,4,13.99,1,3,5,0.09,3,4
0,0,3.71,28,2,3,8.99,1,1,1,0.13,4,4
1,0,1.7,43,5,2,8.99,1,2,5,0.04,4,4
0,2,1.02,20,2,1,13.99,1,3,1,0.05,6,1
0,1,1.36,35,5,2,17.99,1,3,2,0.04,5,2
2,1,1.43,16,2,1,17.99,1,2,2,0.08,0,2
0,0,26.9,49,5,0,8.99,0,3,2,0.54,3,4
1,0,3.13,16,4,3,8.99,1,0,5,0.18,3,2
2,0,3.72,11,1,0,8.99,1,1,5,0.31,2,3
1,1,16.17,46,0,1,17.99,1,1,4,0.34,4,4
2,0,5.18,43,2,4,8.99,1,4,4,0.12,4,3
1,0,1.89,59,1,4,8.99,1,0,5,0.03,0,4
2,0,3.4,27,3,1,8.99,1,1,3,0.12,6,0
2,0,0.11,1,5,4,8.99,1,3,2,0.06,6,0
0,2,32.88,36,5,0,13.99,0,1,4,0.89,6,0
0,2,6.26,16,4,4,13.99,0,1,4,0.37,0,0
2,2,3.29,25,3,4,13.99,1,1,1,0.13,2,1
0,0,20.11,40,5,0,8.99,1,4,2,0.49,6,2
0,2,19.36,45,5,0,13.99,1,2,2,0.42,3,2
1,0,2.27,20,5,0,8.99,1,2,3,0.11,5,4
0,0,2.42,56,2,4,8.99,1,1,3,0.04,1,4
2,0,10.85,13,3,2,8.99,0,4,3,0.78,5,4
1,1,9.59,28,2,2,17.99,0,4,4,0.33,0,4
1,1,7.24,40,1,3,17.99,0,2,5,0.18,2,4
1,2,7.85,43,2,3,13.99,1,3,5,0.18,0,1
0,0,6.8,6,3,2,8.99,0,2,4,0.97,0,1
1,1,0.88,33,4,1,17.99,1,0,1,0.03,1,0
1,1,12.48,53,1,4,17.99,1,3,2,0.23,1,4
0,1,2.04,6,5,3,17.99,0,2,2,0.29,3,2
2,1,4.57,24,0,1,17.99,1,3,4,0.18,2,4
1,2,19.23,20,4,1,13.99,0,2,3,0.92,5,3
2,2,16.81,56,4,4,13.99,1,0,2,0.29,3,3
2,1,8.17,38,2,0,17.99,1,4,3,0.21,2,4
1,0,7.09,32,2,3,8.99,1,0,2,0.21,5,4
0,1,7.92,58,1,0,17.99,1,3,4,0.13,3,0
2,2,10.1,40,4,3,13.99,0,4,5,0.25,4,2
0,0,9.07,32,0,3,8.99,1,1,3,0.27,5,1
2,0,2.24,50,2,1,8.99,1,4,5,0.04,2,1
1,0,11.25,52,2,1,8.99,1,4,5,0.21,0,4
1,2,31.31,53,5,2,13.99,0,3,1,0.58,6,0
0,1,8.32,48,2,3,17.99,1,0,2,0.17,4,2
0,1,6.8,20,5,1,17.99,0,0,4,0.32,3,3
0,0,18.4,55,1,3,8.99,1,2,4,0.33,3,4
0,1,3.61,43,0,4,17.99,1,4,4,0.08,1,4
1,1,10.68,60,0,4,17.99,0,2,5,0.18,0,4
0,2,3.85,55,5,0,13.99,1,3,3,0.07,5,4
0,0,1.55,17,5,4,8.99,1,2,2,0.09,0,2
0,2,7.46,58,1,4,13.99,0,0,5,0.13,3,4
0,0,6.67,47,3,3,8.99,1,3,2,0.14,2,2
0,1,4.57,17,5,1,17.99,1,3,1,0.25,1,3
0,2,1.03,2,1,4,13.99,0,4,5,0.34,2,2
1,2,12.95,27,3,3,13.99,0,3,4,0.46,4,2
1,2,3.92,58,0,4,13.99,1,4,5,0.07,4,0
1,0,24.44,28,3,1,8.99,0,3,4,0.84,3,2
1,2,1.35,7,1,3,13.99,1,1,1,0.17,0,2
2,1,0.25,50,1,4,17.99,1,4,1,0.0,5,2
0,1,10.27,55,3,4,17.99,0,4,4,0.18,4,1
2,2,7.61,37,3,2,13.99,1,4,1,0.2,1,2
1,0,11.05,51,3,3,8.99,1,4,1,0.21,4,4
0,1,2.39,21,5,4,17.99,1,2,2,0.11,1,2
2,0,14.91,47,2,0,8.99,1,2,5,0.31,4,0
2,0,2.6,50,5,1,8.99,1,0,4,0.05,5,0
0,0,18.25,30,5,2,8.99,0,1,5,0.59,2,4
2,1,20.05,21,1,4,17.99,0,1,5,0.91,2,2
2,0,0.39,48,5,4,8.99,1,4,5,0.01,5,0
2,1,0.56,30,3,4,17.99,1,2,2,0.02,4,2
2,2,1.95,28,3,2,13.99,1,1,4,0.07,5,2
2,2,8.7,46,1,2,13.99,1,0,3,0.19,0,1
1,0,2.17,14,0,4,8.99,1,2,3,0.14,4,2
0,0,3.58,14,3,4,8.99,1,4,2,0.24,5,0
2,2,14.58,18,2,0,13.99,0,0,2,0.77,6,1
2,2,1.42,57,2,1,13.99,1,3,3,0.02,3,1
0,0,2.98,29,1,3,8.99,1,1,4,0.1,1,0
0,2,0.68,42,0,0,13.99,1,1,2,0.02,1,4
2,2,2.26,31,2,1,13.99,1,4,5,0.07,1,0
0,0,6.93,47,5,4,8.99,1,4,3,0.14,6,1
0,1,11.67,31,4,2,17.99,1,1,3,0.36,6,4
2,1,5.31,39,2,3,17.99,1,0,1,0.13,1,0
2,2,1.83,37,0,0,13.99,1,0,1,0.05,1,2
0,2,2.62,43,5,2,13.99,1,3,5,0.06,2,2
2,1,0.85,6,2,3,17.99,1,1,1,0.12,4,2
0,2,5.02,47,0,2,13.99,1,1,3,0.1,4,0
2,1,19.81,25,1,4,17.99,0,0,4,0.76,6,2
2,1,18.47,28,1,4,17.99,0,0,2,0.64,4,0
0,1,11.54,28,2,1,17.99,0,3,5,0.4,6,4
0,2,2.7,35,1,3,13.99,1,2,1,0.08,2,1
2,2,1.79,38,0,2,13.99,1,0,1,0.05,3,2
1,2,13.86,46,5,1,13.99,1,3,3,0.29,2,0
0,0,0.14,37,2,3,8.99,1,4,5,0.0,6,4
2,1,19.48,35,4,1,17.99,0,4,5,0.54,4,4
1,0,4.84,25,0,1,8.99,1,4,5,0.19,0,0
2,1,8.7,45,5,2,17.99,0,4,4,0.19,3,0
1,1,19.19,27,5,2,17.99,0,4,2,0.69,4,2
1,0,0.53,22,2,3,8.99,1,4,1,0.02,5,0
1,0,7.85,53,2,2,8.99,1,4,2,0.15,5,2
1,2,6.33,49,2,1,13.99,0,2,4,0.13,0,4
0,0,33.5,56,1,1,8.99,0,4,2,0.59,0,0
0,0,2.55,48,4,1,8.99,1,3,2,0.05,6,1
2,0,26.28,48,2,3,8.99,0,1,3,0.54,6,4
1,1,1.04,17,2,2,17.99,1,3,2,0.06,5,1
0,2,9.91,14,0,0,13.99,0,1,1,0.66,1,0
2,1,16.39,27,2,0,17.99,0,3,5,0.59,4,4
2,2,32.78,51,1,1,13.99,0,2,5,0.63,2,0
1,1,1.95,52,0,4,17.99,1,0,5,0.04,3,4
2,2,5.02,26,5,4,13.99,0,0,4,0.19,2,0
0,0,1.3,2,5,2,8.99,1,1,4,0.43,3,0
1,1,0.33,7,1,4,17.99,1,3,2,0.04,4,4
2,1,5.03,59,4,3,17.99,1,1,1,0.08,3,4
0,0,1.21,31,2,4,8.99,1,1,3,0.04,3,2
2,1,3.51,16,1,0,17.99,0,0,5,0.21,3,4
0,1,3.55,45,5,0,17.99,1,3,3,0.08,5,4
0,0,7.02,44,0,4,8.99,1,3,4,0.16,4,0
1,0,15.17,28,5,2,8.99,0,4,3,0.52,2,3
1,2,17.12,22,2,0,13.99,0,0,1,0.74,2,0
0,0,12.93,55,4,4,8.99,1,2,4,0.23,6,2
1,2,7.88,43,2,4,13.99,1,1,1,0.18,4,0
2,0,5.55,47,2,4,8.99,1,3,2,0.12,3,0
1,0,4.61,8,3,2,8.99,1,4,3,0.51,6,2
1,0,19.74,20,1,2,8.99,0,2,1,0.94,4,0
2,1,19.67,54,2,2,17.99,0,0,5,0.36,2,0
2,1,0.3,12,1,1,17.99,1,0,2,0.02,3,2
1,0,7.73,31,1,4,8.99,1,3,4,0.24,2,0
1,0,1.03,3,3,4,8.99,1,0,5,0.26,2,2
1,2,9.93,51,5,4,13.99,0,2,4,0.19,5,4
1,2,2.56,53,4,0,13.99,1,4,2,0.05,5,2
0,2,2.28,38,0,0,13.99,1,4,3,0.06,3,2
1,2,1.17,51,5,4,13.99,1,0,3,0.02,5,0
0,1,10.53,33,4,4,17.99,1,2,3,0.31,6,4
1,2,8.43,45,3,1,13.99,0,2,5,0.18,1,4
1,1,1.11,13,5,2,17.99,0,0,4,0.08,6,4
0,1,5.41,35,3,0,17.99,1,3,4,0.15,0,0
0,2,11.79,39,1,1,13.99,1,2,2,0.29,2,2
1,2,0.39,32,5,1,13.99,1,3,4,0.01,0,4
1,1,0.97,9,0,4,17.99,0,2,5,0.1,6,3
0,0,4.16,25,2,4,8.99,1,1,2,0.16,4,2
1,1,13.91,27,1,1,17.99,0,4,5,0.5,1,0
0,1,3.73,49,4,3,17.99,1,0,5,0.07,3,0
1,2,10.91,16,3,4,13.99,0,2,4,0.64,3,4
2,1,5.56,53,2,1,17.99,1,0,1,0.1,5,4
2,1,4.04,19,1,2,17.99,0,0,4,0.2,5,2
0,2,0.13,48,2,1,13.99,1,1,5,0.0,6,4
0,0,20.03,16,0,0,8.99,0,2,5,1.18,1,0
2,0,20.45,54,1,0,8.99,0,2,4,0.37,0,0
1,2,28.75,20,1,3,13.99,0,1,2,1.37,4,4
2,0,10.43,46,4,2,8.99,1,0,4,0.22,6,4
2,1,11.5,53,2,3,17.99,1,1,5,0.21,2,2
2,2,1.49,8,1,1,13.99,0,0,4,0.17,2,0
1,1,17.56,29,1,1,17.99,0,2,4,0.59,6,1
2,1,15.15,55,5,3,17.99,1,0,3,0.27,1,4
2,0,16.89,38,2,3,8.99,1,2,2,0.43,4,2
1,0,0.22,21,4,2,8.99,1,2,4,0.01,3,3
0,2,11.33,42,2,2,13.99,1,0,1,0.26,6,4
2,0,7.79,25,3,3,8.99,0,2,2,0.3,3,2
1,0,0.12,25,5,2,8.99,1,3,4,0.0,2,2
0,1,1.04,37,5,4,17.99,1,4,2,0.03,4,1
0,1,16.1,20,5,2,17.99,0,3,4,0.77,5,0
2,1,0.65,34,5,1,17.99,1,0,3,0.02,3,0
0,0,0.3,21,2,2,8.99,1,3,2,0.01,4,2
1,2,16.01,11,2,1,13.99,0,2,4,1.33,4,0
0,0,33.36,37,5,3,8.99,1,1,1,0.88,6,0
0,0,3.99,24,0,1,8.99,1,3,1,0.16,4,1
2,2,4.64,7,1,0,13.99,1,1,1,0.58,1,4
0,1,5.0,17,4,2,17.99,0,1,1,0.28,3,0
1,1,12.42,58,3,1,17.99,1,2,3,0.21,4,3
2,0,16.54,24,5,1,8.99,0,1,3,0.66,5,4
0,1,0.26,28,2,4,17.99,1,0,2,0.01,0,2
0,0,17.94,19,4,4,8.99,0,4,2,0.9,0,0
0,1,3.13,18,4,1,17.99,0,4,5,0.16,6,4
2,0,3.02,21,1,4,8.99,1,3,5,0.14,1,4
2,2,7.82,8,3,4,13.99,0,0,2,0.87,2,0
0,0,0.82,1,3,2,8.99,1,4,5,0.41,3,0
1,0,13.95,21,4,1,8.99,0,4,1,0.63,6,0
2,0,11.3,37,5,2,8.99,1,4,3,0.3,5,4
0,1,5.8,41,4,3,17.99,1,4,2,0.14,2,1
2,2,24.34,31,1,1,13.99,0,1,1,0.76,1,2
2,0,7.19,56,3,0,8.99,1,3,2,0.13,5,2
1,2,13.33,24,3,3,13.99,0,1,3,0.53,5,0
2,1,1.65,30,0,2,17.99,1,3,4,0.05,0,2
1,2,10.55,54,1,4,13.99,0,4,5,0.19,6,4
2,1,6.19,19,1,3,17.99,0,3,3,0.31,5,2
1,2,9.87,46,2,0,13.99,0,2,4,0.21,1,0
1,0,2.89,16,4,1,8.99,1,0,5,0.17,3,0
2,2,0.23,54,1,0,13.99,1,3,5,0.0,3,4
2,2,0.4,48,2,3,13.99,1,3,5,0.01,1,2
2,0,11.05,12,0,1,8.99,0,1,5,0.85,0,2
2,2,10.6,55,4,1,13.99,1,0,1,0.19,6,2
0,2,2.4,12,1,0,13.99,0,4,5,0.18,1,1
0,2,7.02,18,0,4,13.99,0,4,4,0.37,6,0
1,2,31.54,44,3,3,13.99,0,1,5,0.7,3,2
1,0,4.74,39,2,2,8.99,1,1,3,0.12,0,2
1,2,14.18,27,3,4,13.99,0,1,2,0.51,3,3
1,2,7.61,8,2,1,13.99,0,1,5,0.85,4,2
2,0,0.59,41,1,0,8.99,1,2,5,0.01,4,3
1,2,27.72,58,3,1,13.99,0,4,3,0.47,0,4
1,1,26.06,28,3,3,17.99,0,2,4,0.9,3,4
0,2,10.78,10,4,2,13.99,0,4,3,0.98,3,2
0,2,8.07,36,5,1,13.99,1,1,2,0.22,3,4
2,2,5.56,47,1,3,13.99,1,1,5,0.12,2,0
2,0,0.27,44,3,1,8.99,1,4,5,0.01,3,2
1,2,13.61,16,0,0,13.99,0,4,5,0.8,4,0
1,1,13.24,37,2,2,17.99,0,0,5,0.35,4,4
1,1,4.41,56,0,3,17.99,1,3,2,0.08,4,0
2,1,12.92,14,4,4,17.99,0,3,5,0.86,6,0
1,2,1.29,4,0,3,13.99,0,0,5,0.26,0,4
1,2,2.31,29,2,4,13.99,1,1,1,0.08,6,2
1,2,8.56,33,5,2,13.99,1,3,4,0.25,3,2
1,2,18.75,24,5,2,13.99,0,4,5,0.75,6,3
0,2,0.71,26,3,4,13.99,1,1,5,0.03,0,0
1,2,18.9,54,0,4,13.99,1,3,4,0.34,4,0
1,0,6.52,34,3,4,8.99,1,4,4,0.19,1,0
1,1,23.81,59,5,1,17.99,0,2,3,0.4,1,4
2,1,2.47,33,3,2,17.99,1,4,2,0.07,6,4
0,0,7.59,5,2,0,8.99,0,1,2,1.26,3,0
2,0,9.88,44,2,2,8.99,1,2,3,0.22,0,2
2,2,21.33,47,2,4,13.99,0,2,1,0.44,6,1
1,0,4.2,54,3,2,8.99,1,1,4,0.08,2,2
1,1,2.51,30,2,2,17.99,0,2,4,0.08,6,0
0,1,11.36,13,5,2,17.99,0,3,1,0.81,4,0
1,2,7.78,7,1,2,13.99,0,4,3,0.97,3,2
1,1,3.18,11,3,3,17.99,1,1,4,0.27,6,0
2,1,4.12,31,2,3,17.99,1,0,5,0.13,3,1
2,0,29.27,35,2,3,8.99,0,3,4,0.81,5,0
0,1,14.47,31,5,3,17.99,0,2,5,0.45,3,2
2,1,13.98,56,4,2,17.99,1,1,4,0.25,4,0
2,0,14.43,16,5,4,8.99,0,0,1,0.85,2,0
0,1,13.59,51,4,2,17.99,1,1,2,0.26,3,4
1,0,4.59,47,1,1,8.99,1,3,1,0.1,6,0
2,1,1.81,22,1,1,17.99,1,3,4,0.08,0,0
2,0,12.04,32,4,0,8.99,1,0,1,0.36,3,0
2,2,4.69,32,1,3,13.99,1,2,3,0.14,2,1
0,1,12.37,37,2,0,17.99,1,1,3,0.33,5,0
0,0,7.27,7,0,1,8.99,0,1,2,0.91,5,0
2,1,26.34,40,0,3,17.99,0,1,2,0.64,5,0
1,2,19.48,25,3,2,13.99,0,2,2,0.75,3,1
2,2,1.04,56,0,0,13.99,1,4,3,0.02,1,4
0,2,4.39,11,5,2,13.99,0,2,5,0.37,5,2
0,2,13.2,56,1,2,13.99,1,2,2,0.23,5,3
0,1,20.88,41,5,3,17.99,0,1,3,0.5,4,0
2,0,7.35,26,3,1,8.99,0,2,3,0.27,3,0
2,0,3.9,14,2,2,8.99,1,2,4,0.26,6,2
1,1,0.42,51,2,3,17.99,1,3,3,0.01,3,2
0,2,6.93,34,5,2,13.99,1,1,3,0.2,1,4
1,0,5.18,36,4,4,8.99,1,0,1,0.14,4,4
1,1,8.37,21,2,4,17.99,0,1,3,0.38,2,0
1,1,1.83,25,0,3,17.99,0,4,5,0.07,1,0
0,0,0.51,12,1,4,8.99,1,4,1,0.04,0,2
0,0,8.54,16,4,4,8.99,0,1,5,0.5,0,2
0,1,8.64,35,5,1,17.99,0,2,5,0.24,5,0
0,1,6.38,23,5,3,17.99,0,3,5,0.27,3,4
2,1,7.1,11,3,1,17.99,0,1,3,0.59,4,4
1,1,11.31,7,3,3,17.99,0,4,3,1.41,0,0
2,0,3.84,28,5,2,8.99,1,0,3,0.13,4,4
0,2,0.02,35,0,4,13.99,1,4,3,0.0,2,4
0,1,9.66,27,0,3,17.99,0,0,5,0.35,6,1
0,1,0.36,15,4,3,17.99,1,3,5,0.02,6,1
1,0,7.63,23,3,4,8.99,0,2,4,0.32,3,1
0,2,6.47,32,0,3,13.99,1,3,4,0.2,3,0
2,1,26.32,18,1,2,17.99,0,4,4,1.39,2,2
0,2,7.34,56,2,3,13.99,1,3,4,0.13,5,0
1,0,8.19,53,2,3,8.99,1,0,1,0.15,1,4
2,0,1.05,51,0,2,8.99,1,3,2,0.02,6,2
1,2,27.5,32,0,2,13.99,0,3,3,0.83,5,1
1,0,9.85,46,3,0,8.99,1,3,5,0.21,3,4
0,1,5.22,28,1,0,17.99,0,1,5,0.18,0,1
0,0,19.14,28,3,0,8.99,0,1,2,0.66,1,4
2,0,10.73,35,2,4,8.99,1,0,5,0.3,1,4
1,2,5.1,9,3,3,13.99,0,4,5,0.51,1,4
2,0,16.65,36,4,4,8.99,1,2,2,0.45,2,0
1,2,20.65,19,3,4,13.99,0,1,4,1.03,6,3
1,0,10.98,28,5,2,8.99,1,2,1,0.38,0,0
1,2,1.78,35,5,2,13.99,1,2,3,0.05,0,4
1,1,4.11,45,1,1,17.99,1,0,5,0.09,0,4
0,1,15.45,46,0,0,17.99,1,3,5,0.33,1,1
2,1,1.44,40,5,3,17.99,1,3,5,0.04,1,3
2,2,8.67,41,3,1,13.99,1,4,2,0.21,6,0
0,1,27.06,55,3,4,17.99,0,2,4,0.48,0,4
0,1,7.24,30,4,4,17.99,0,4,2,0.23,5,4
1,0,1.44,26,2,2,8.99,1,2,1,0.05,2,2
2,1,4.26,6,3,4,17.99,0,1,5,0.61,4,0
0,2,15.06,20,3,2,13.99,0,3,1,0.72,5,1
1,2,29.96,44,2,1,13.99,0,1,5,0.67,6,0
0,1,8.05,54,0,3,17.99,1,1,3,0.15,0,0
1,2,3.51,50,4,1,13.99,1,0,1,0.07,2,2
1,0,2.51,31,2,1,8.99,1,2,3,0.08,1,2
0,1,1.8,32,5,2,17.99,1,4,2,0.05,5,4
2,2,0.76,44,2,4,13.99,1,3,2,0.02,0,1
1,2,0.61,9,3,2,13.99,0,0,4,0.06,2,0
0,1,27.79,28,4,3,17.99,0,1,4,0.96,0,1
0,1,16.13,21,2,4,17.99,0,1,3,0.73,2,2
2,1,24.87,41,3,4,17.99,0,3,5,0.59,6,4
0,2,29.18,36,4,3,13.99,0,2,1,0.79,2,4
2,1,11.65,21,0,1,17.99,0,0,5,0.53,5,4
1,1,6.55,27,4,1,17.99,0,4,3,0.23,5,4
2,2,0.52,29,1,3,13.99,1,2,1,0.02,5,3
0,0,35.03,37,1,0,8.99,0,0,4,0.92,1,4
0,0,9.03,52,5,2,8.99,1,1,1,0.17,2,4
0,2,8.01,20,5,1,13.99,0,0,4,0.38,6,4
2,0,9.58,13,3,2,8.99,0,2,1,0.68,4,4
0,0,0.36,60,0,1,8.99,1,2,3,0.01,3,4
2,0,4.67,5,5,1,8.99,0,4,3,0.78,6,4
0,1,26.79,34,0,3,17.99,0,0,4,0.77,6,2
0,0,0.97,33,1,2,8.99,1,2,4,0.03,4,2
2,1,0.25,1,3,0,17.99,0,4,2,0.12,6,2
0,0,4.49,57,5,4,8.99,1,1,5,0.08,2,0
2,1,28.38,52,0,4,17.99,0,4,4,0.54,3,2
1,0,3.87,32,5,3,8.99,1,0,2,0.12,3,4
2,1,1.28,22,0,0,17.99,0,4,5,0.06,0,2
1,1,3.31,34,4,4,17.99,1,3,2,0.09,3,0
1,1,22.68,50,2,1,17.99,0,4,4,0.44,2,1
0,1,11.02,22,0,3,17.99,0,3,4,0.48,3,4
1,0,5.47,36,5,2,8.99,1,0,1,0.15,1,2
1,2,21.36,39,1,4,13.99,0,2,3,0.53,1,2
1,2,16.62,44,0,3,13.99,0,4,5,0.37,3,2
0,2,8.26,32,0,1,13.99,0,4,4,0.25,3,2
0,0,8.5,32,1,0,8.99,1,4,2,0.26,1,0
1,1,8.84,52,2,0,17.99,1,0,2,0.17,1,4
0,1,6.49,34,3,4,17.99,1,3,1,0.19,5,3
1,2,8.47,53,3,3,13.99,1,3,2,0.16,4,3
2,2,31.46,47,4,0,13.99,0,4,3,0.66,1,0
1,2,13.4,49,0,2,13.99,1,1,1,0.27,2,0
0,0,7.36,38,4,1,8.99,1,2,2,0.19,5,0
1,0,5.1,53,2,4,8.99,1,4,3,0.09,2,4
0,1,4.39,33,4,2,17.99,1,3,1,0.13,4,3
2,0,5.12,12,3,3,8.99,0,2,5,0.39,0,4
0,2,1.33,29,1,1,13.99,1,0,3,0.04,4,2
1,2,19.03,17,2,1,13.99,0,3,2,1.06,3,4
2,2,4.08,35,4,2,13.99,1,3,3,0.11,6,2
2,1,4.31,47,1,2,17.99,1,2,5,0.09,0,2
0,1,1.18,4,0,2,17.99,0,2,3,0.24,0,0
2,1,1.81,20,3,4,17.99,1,1,2,0.09,1,4
0,2,11.06,50,2,4,13.99,1,4,3,0.22,2,0
